isin,year,Return_n,Return_n+1,country,new_industry,exchange,fte_category,cap_category,businessClass,Total Revenue,Total Revenue : Annual Variation,Net Income,Net Income : Annual Variation,EBITDA,EBITDA : Annual Variation,Basic EPS,Basic EPS : Annual Variation,Operating Cash Flow,Operating Cash Flow : Annual Variation,Free Cash Flow,Free Cash Flow : Annual Variation,Total Assets,Total Assets : Annual Variation,Long Term Debt,Long Term Debt : Annual Variation,Total Liabilities Net Minority Interest,Total Liabilities Net Minority Interest : Annual Variation,Stockholders Equity,Stockholders Equity : Annual Variation
NO0010743545,2021,0.2757239962649332,-0.3057147085215558,10.0,3.0,26.0,3.0,2.0,8.0,272049752.72963643,0.0342069111063767,33768084.11584375,0.0795511347999708,75906379.83890094,0.020967776236599,0.8309689660321672,0.0799086757990868,59178078.58190666,-0.1007812260163079,51042839.700288996,-0.1502203100573405,310499898.98368806,0.0201703639462212,39671126.02443717,-0.0213487041691947,199587150.72512144,-0.0035898061083712,110912748.25856663,0.0659089355042128
SE0007871645,2023,-0.1138396958813301,,11.0,3.0,29.0,3.0,3.0,0.0,1416352701.6591394,0.1326845700383643,54407600.68331266,-0.6121768140116765,157255516.8137037,-0.2885124404446797,0.0,0.0,191889172.30243605,0.1824080749819754,126951068.26106288,0.1936193619361936,1362413123.347296,-0.0526401431942071,165913930.6858868,0.0464944649446494,768492733.952683,0.0357987699101088,587134065.0083075,-0.148336727766463
SE0007871645,2022,0.0477034512160174,-0.1138396958813301,11.0,3.0,29.0,3.0,3.0,0.0,1250438770.9732525,-0.1515560495395363,140289705.84793952,-0.593972231628852,221023564.9264035,-0.5199491740787802,0.0,0.0,162286757.30699927,-0.5086787105915692,106358083.9164112,-0.6169405815423514,1438115741.9324644,0.0095277207392197,158542578.33524442,0.2141577060931899,741932464.371797,-0.0279012724206653,689396953.1743617,0.0534596817450384
SE0007871645,2021,0.3610677731528064,0.0477034512160174,11.0,3.0,29.0,3.0,3.0,0.0,1473802447.7570028,0.1144930100867103,345517515.73725224,0.7875302663438256,460417007.9329792,0.5140438630242401,0.0,0.0,330306788.66449815,-0.1069281872825055,277654271.8741956,-0.1822880771881461,1424543093.159853,0.226947495717021,130578241.6399504,-0.0566356720202874,763227482.2736527,0.1242674939675973,654412280.9070274,0.3571948556175685
BE0974274061,2023,0.1468668190322495,,1.0,2.0,2.0,3.0,2.0,3.0,605475000.0,0.2111728558054682,56064000.0,1.035212545830762,191647000.0,0.270354829942795,2.08,1.03921568627451,154448000.0,0.1354550333399498,118321000.0,0.0928731088245617,1167027000.0,-0.0021111658355394,383695000.0,-0.1716304002867055,973182000.0,-0.0382322595437349,193834000.0,0.2289831916256126
BE0974274061,2022,-0.294909132367792,0.1468668190322495,1.0,2.0,2.0,3.0,2.0,3.0,499908000.0,0.8765808410881667,27547000.0,-2.0845702586716013,150861000.0,1.0982350241310728,1.02,-2.0851063829787235,136023000.0,0.5305151112811396,108266000.0,0.5128133471201408,1169496000.0,-0.0214061341602807,463193000.0,-0.031977412464942,1011868000.0,-0.058227207195636,157719000.0,0.3063995096415082
BE0974274061,2021,0.5546099195197809,-0.294909132367792,1.0,2.0,2.0,3.0,2.0,3.0,266393000.0,0.5111752759782621,-25399000.0,-0.6312519055154692,71899000.0,4.2677119202872005,-0.94,-0.6328125,88874000.0,-5.39100790513834,71566000.0,-2.092610687022901,1195078000.0,0.023025561129278,478494000.0,0.0183280057546362,1074429000.0,0.0314346769269759,120728000.0,-0.0455680991683268
IE0004927939,2023,0.5460662357255941,,6.0,14.0,15.0,4.0,4.0,3.0,8090600000.0,-0.0300087520531357,640300000.0,0.0707357859531772,1090500000.0,0.108795119471276,3.523,0.069195751138088,1162200000.0,0.6794797687861271,924500000.0,1.186613055818354,8001600000.0,0.04168510948525,1709100000.0,-0.1838498639033475,4053800000.0,-0.0541543199794675,3848000000.0,0.1591408862246588
IE0004927939,2022,-0.5179838160918069,0.5460662357255941,6.0,14.0,15.0,4.0,4.0,3.0,8340900000.0,0.2838079113436971,598000000.0,0.0792275762497744,983500000.0,0.1012204680326951,3.295,0.0782068062827224,692000000.0,1.1020656136087486,422800000.0,1.6359102244389028,7681400000.0,0.2024922118380062,2094100000.0,0.5890878737289422,4285900000.0,0.2500437496354197,3319700000.0,0.1478510424950727
IE0004927939,2021,0.7888095545082282,-0.5179838160918069,6.0,14.0,15.0,4.0,4.0,3.0,6497000000.0,0.419798951048951,554100000.0,0.48313704496788,893100000.0,0.4191959319879231,3.056,0.4820562560620758,329200000.0,-0.4844166014095536,160400000.0,-0.6834418788237616,6387900000.0,0.1958776396585292,1317800000.0,-0.0407628475760663,3428600000.0,0.1646059782608695,2892100000.0,0.2312571842138873
